industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Healthcare Support Services,478,0.09901601351351355,0.03103276162562591,0.2071533077572603,0.2372986647503187,0.7786715730650319,0.916558867242304,0.09110226422574172,0.4240259110678302,0.057772,0.2760246029582183,0.07785666591037353,8.01749031695431,0.4902307572418489,11.28749654921444,15.30677530638024,2.305915705654942,96.39308012218274,-0.02545612284791271
Heathcare Information and Technology,430,0.1298355252918289,0.1478785625462087,0.1254007836372798,0.169746733393435,1.207249439882182,1.289920212997853,0.1121225079917791,0.5435311570366956,0.060013,0.1224871037195609,0.1038748626140789,1.086017834442093,5.322439521482191,20.95699362062974,33.85826118783636,3.867002275955683,321.7983479015028,0.2436388625644416
Homebuilding,160,0.07172586466165419,0.1071429289258849,0.10363608542706,0.2479057113920095,0.8223996026589195,0.9602309512811922,0.09356100255713112,0.3237403309830183,0.057772,0.285208071429653,0.07917346493316262,1.269298555414893,1.142054296977896,9.429707449467426,11.07266496689942,1.364995842409945,23.78670737589014,0.6733095438039169
Hospitals/Healthcare Facilities,249,0.1425727380952381,0.1226799969512325,0.1320980263575953,0.2044474188227856,0.5838514857400334,0.7601799253122585,0.08229812979508017,0.3600062293515836,0.057772,0.3177943471305495,0.06984603005802403,1.36360376102938,2.13397603628438,11.88770948710414,17.79832093020747,3.549656130590896,46.0551864358089,0.05674738642804298
Hotel/Gaming,656,0.1838084435797666,0.1666410977658608,0.1180460274485128,0.1899396884002356,0.6562244487273435,0.7984302381267229,0.0844516224065345,0.3927390282657112,0.057772,0.2869376534377079,0.0725906588701753,0.9417314184899619,3.448704120391985,13.86818190370077,22.12256323797384,4.537440166121335,74.50115923853168,-0.03702564299535631
Household Products,588,0.0821528092783505,0.1617188816212583,0.2308067613801786,0.2356972431552591,0.7741444240060512,0.8301058978401478,0.08623496204840032,0.4041766294960196,0.057772,0.1355027587052499,0.08039212124404843,1.793671051363207,2.902357734200703,14.55548489023277,17.73863622619547,4.625730847103978,68.84767078463793,0.05926111688080881
Information Services,86,0.1051593220338983,0.1178327537902393,0.2281348400529763,0.2568912617717469,0.8737359462659163,1.023720593319527,0.09713546940388937,0.3800278673746824,0.057772,0.242311019702493,0.08404577340479001,2.713108882623942,1.88271785081681,10.76973215402788,15.45029291856859,3.285100978683044,36.7469854080561,0.1412294812002468
Insurance (General),204,0.1140136363636364,0.1544565709060728,0.2562397661707816,0.2486677540953519,0.4730782196000951,0.5102355818446773,0.06822626325785533,0.3198938619016569,0.057772,0.2311327737583772,0.06242228363243409,1.959911903724869,1.563538529631204,9.002254770293247,8.903954847142833,2.218575772591184,16.33114064211346,0.1478833798869416
Insurance (Life),143,0.06224316666666665,0.1729247343541066,0.1448200858349781,0.1691078600693705,0.7948484337173086,0.8037813390844742,0.0847528893904559,0.3001301880998039,0.057772,0.4290115528367603,0.06688985831342542,1.011399529639498,1.319461203274962,7.32719050483297,7.522962961223579,1.308116926097618,75.31730470699814,-1.018040173963089
Insurance (Prop/Cas.),248,0.1278221256038648,0.152643124550992,0.180546152442018,0.2089171726875762,0.4123714259312061,0.4318265479631265,0.06381183465032403,0.2953601826804472,0.054406,0.1404264516326478,0.06055272813020231,1.46508599420259,1.31748583187308,7.815288923578121,8.577821890251895,1.674418589034932,20.50861943666401,-0.25821112713536
Investments & Asset Management,1315,0.1776110707456979,0.2505039007771637,0.08295566505053059,0.1755174687536206,0.5657130541049615,0.7483402046417704,0.08163155352133167,0.368566767701624,0.057772,0.3763208962856832,0.06713706125011898,0.3594515662703567,5.44543410788268,19.00230884512049,16.95457243875141,1.748843295495176,53.85228336720077,NA
Machinery,1553,0.0867889780405405,0.1035706020393325,0.1183512000081834,0.2216307080345536,1.329621716102589,1.369473758004885,0.116601372575675,0.4033993609586136,0.057772,0.1193748455379105,0.1078289772800248,1.480081280869955,2.613749441799412,16.88408979648814,23.60605876220991,3.372396135020447,88.38334357634362,0.2912246230349467
Metals & Mining,1874,0.2560405020080321,0.1072536660140786,0.1365780634266371,0.2983873808489146,1.125610404676817,1.236271241649942,0.1091020709048918,0.747399263183578,0.067295,0.1872715117624454,0.0980755594235385,1.347302278602321,1.843836632024247,10.69072789917057,15.97824498422355,2.566222582214006,77.31381976818405,0.1276850013196309
Office Equipment & Services,139,0.0466839175257732,0.07728502336481427,0.1261589716586438,0.2546318191355781,0.7113013935053746,0.758696340294383,0.08221460395857377,0.3687223775672925,0.057772,0.2222073602372713,0.07352643830632928,2.088081417022934,1.076846703493937,9.1443038159521,13.48534383641658,1.795084656002117,24.58469601160549,0.1500581725578792
Oil/Gas (Integrated),34,0.1025588235294118,0.1427195024574721,0.1387668708403002,0.4404764690253459,0.6324676188577144,0.688733058006266,0.07827567116575278,0.2912473365496617,0.054406,0.1776435939953857,0.07158339760236501,1.368595975044083,1.326182060868225,6.181670856706194,9.250182366422518,1.715098151907763,15.6302735905156,0.02536458947371485
Oil/Gas (Production and Exploration),539,0.2248593442622951,0.2850790324643108,0.1486947592073008,0.3505625301830368,0.7463854591601625,0.8855554675584711,0.08935677282354193,0.5391808905321575,0.060013,0.2637102090282841,0.07760345381409826,0.5727999587747761,2.588774210580685,4.836568561786052,8.925890687545323,1.331446744410924,28.76050090651914,0.01140349860610814
Oil/Gas Distribution,186,0.09591255639097744,0.1724183769141509,0.09191073674979025,0.1868280101231991,0.4611542527144429,0.6534778887963208,0.07629080513923286,0.3395738463112972,0.057772,0.3809583505341432,0.06365229793720276,0.6044436795549014,3.053957393856666,11.7825300059131,17.43060399517669,2.098756899880173,27.82939637220507,0.02615113714667903
Oilfield Svcs/Equip.,431,0.1160119692307692,0.05007511671050164,0.09059300961038078,0.230261978404765,0.7996508694362168,0.9482360006929875,0.0928856868390152,0.4221380395376769,0.057772,0.2839911271754528,0.07875132256354538,2.098790572959693,0.7598678616813682,8.83033678983486,14.49330471440069,1.542832887564483,41.45206315808559,0.05475148702676035
Packaging & Container,438,0.07855668674698799,0.07836014453145154,0.09283256980080849,0.2325542111173233,0.5755524439641465,0.7591351325704163,0.08223930796371444,0.3441170723962298,0.057772,0.3448933033517668,0.06874568016476583,1.425153303986407,1.379575421403549,9.56236673989638,17.04124353827975,1.618618810997878,38.91205773134371,0.1566224380368694
